,mistake,fix,mistake freq,fix freq,type,1
305,the,class,1501908.0,5985.0,Standard,1
307,han,ha,347.0,6260.0,Insertion,1
308,ha,han,6260.0,347.0,Deletion,1
309,can,overridden,267620.0,13.0,Standard,1
310,weather,whether,1746.0,3424.0,Standard,1
311,field,fields,3580.0,609.0,Deletion,1
312,the,there,1501908.0,221754.0,Compound,4
313,a,and,1041179.0,682780.0,Standard,1
314,stop,start,36071.0,17345.0,Standard,1
315,listen,dispatch,27784.0,350.0,Standard,1
316,sart,start,6.0,17345.0,Deletion,1
319,prefix,the,21.0,1501908.0,Standard,1
320,them,it,90720.0,963712.0,Standard,1
321,why,in,114687.0,498444.0,Standard,1
322,There,They,221754.0,209250.0,Standard,1
323,undefined,,10.0,27.0,Standard,1
324,purposes,purpose,262.0,1789.0,Insertion,1
325,object,type,1314.0,3093.0,Standard,1
326,tIt,It,171.0,963712.0,Insertion,1
327,Max,Mac,3620.0,1440.0,Substitution,1
328,Multiple,Technically,540.0,739.0,Standard,1
329,step,steps,6052.0,1259.0,Deletion,1
330,get,gets,233772.0,11364.0,Deletion,3
332,wether,weather,7.0,1746.0,Deletion,1
333,maximum,minimum,396.0,415.0,Standard,1
334,of,off,590439.0,60155.0,Deletion,1
335,ask,menu,24640.0,508.0,Standard,1
336,go,do,193445.0,312915.0,Substitution,1
337,absolutely,certain,5769.0,4354.0,Standard,1
339,POST,PUT,1654.0,42251.0,Standard,1
340,to,from,1156570.0,103992.0,Standard,1
341,friends,precedence,15578.0,27.0,Standard,1
342,de,the,2161.0,1501908.0,Standard,2
343,del,de,437.0,2161.0,Insertion,1
344,thought,though,41232.0,9279.0,Insertion,1
345,live,Live,17574.0,17574.0,Caps Error,1
346,the,local,1501908.0,2128.0,Standard,1
347,the,content,1501908.0,389.0,Standard,1
348,messages,message,948.0,4667.0,Insertion,2
350,Cause,Causes,15812.0,506.0,Deletion,1
351,for,to,351650.0,1156570.0,Standard,5
352,some,for,88089.0,351650.0,Standard,1
353,yor,your,4.0,328715.0,Deletion,1
354,on,or,354742.0,86970.0,Substitution,1
355,dashing,Dashing,115.0,115.0,Caps Error,1
356,about,after,185206.0,34812.0,Standard,1
357,and,as,682780.0,113068.0,Standard,1
358,take,see,96443.0,130393.0,Standard,1
360,things,criteria,35337.0,91.0,Standard,1
361,Who,How,113370.0,155867.0,Standard,1
362,keep,keeps,35846.0,2681.0,Deletion,1
363,exit,exist,794.0,1477.0,Deletion,1
364,is,are,459663.0,265672.0,Standard,3
365,ass,as,11545.0,113068.0,Insertion,2
367,or,For,86970.0,351650.0,Deletion,2
370,applies,uses,127.0,778.0,Standard,1
371,current,currently,869.0,351.0,Compound,2
373,so,likelihood,216452.0,58.0,Standard,1
374,car,see,24636.0,130393.0,Standard,1
376,abort,cancel,235.0,933.0,Standard,3
379,a,data,1041179.0,1306.0,Standard,1
380,it,them,963712.0,90720.0,Standard,2
382,The,Returns,1501908.0,447.0,Standard,1
383,type,return,3093.0,4676.0,Standard,1
384,ore,more,84.0,66228.0,Deletion,1
385,Premier,Premiere,127.0,189.0,Deletion,1
386,covers,describes,478.0,81.0,Standard,1
387,can,enables,267620.0,34.0,Standard,1
388,going,discover,108288.0,614.0,Standard,1
389,line,lines,10515.0,1960.0,Deletion,1
390,world,life,23216.0,40629.0,Standard,1
391,detection,detecting,85.0,61.0,Standard,1
392,multiples,multiple,15.0,540.0,Insertion,1
393,dependant,dependent,7.0,114.0,Substitution,1
394,word,color,12013.0,2011.0,Standard,1
395,Go,go,193445.0,193445.0,Caps Error,1
397,is,in,459663.0,498444.0,Substitution,2
398,pixies,pixie,20.0,42.0,Insertion,1
400,deal,engagement,13330.0,666.0,Standard,1
401,format,formats,54.0,9.0,Deletion,1
402,stimulus,Stimulus,26.0,26.0,Caps Error,3
405,represented,represent,213.0,773.0,Compound,1
406,of,stars,590439.0,2353.0,Standard,1
407,release,released,1851.0,882.0,Deletion,1
408,work,use,40699.0,17536.0,Standard,1
409,generation,generating,619.0,43.0,Standard,1
410,act,actions,5565.0,620.0,Compound,1
411,w,with,1099.0,257465.0,Compound,1
412,practise,practice,189.0,2330.0,Substitution,1
413,that,conflicting,719677.0,37.0,Standard,1
414,is,aims,459663.0,60.0,Standard,1
415,the,see,1501908.0,130393.0,Standard,2
416,Used,Use,17551.0,17536.0,Insertion,2
417,the,web,1501908.0,470.0,Standard,2
422,err,error,77.0,473.0,Compound,1
423,Option,Activity,736.0,657.0,Standard,1
424,clock,block,2990.0,2067.0,Substitution,1
426,its,basic,8757.0,794.0,Standard,1
427,Changes,Changed,1481.0,5148.0,Substitution,1
428,we,be,459607.0,293085.0,Substitution,1
429,offer,fallback,3810.0,32.0,Standard,1
430,object,string,1314.0,646.0,Standard,1
431,x,X,1051.0,1051.0,Caps Error,1
432,v,V,1394.0,1394.0,Caps Error,3
433,r,X,3579.0,1051.0,Substitution,1
436,page,pages,1912.0,695.0,Deletion,1
437,them,they,90720.0,209250.0,Substitution,1
438,pops,pop,598.0,3441.0,Insertion,1
439,accomodate,accommodate,6.0,109.0,Deletion,2
442,File,The,2246.0,1501908.0,Standard,1
443,so,wo,216452.0,58.0,Substitution,1
444,change,changed,12258.0,5148.0,Deletion,1
445,nor,or,1835.0,86970.0,Insertion,1
447,beyond,interactive,2200.0,28.0,Standard,1
448,behind,under,9581.0,13358.0,Standard,1
449,semicolon,colon,8.0,129.0,Compound,1
450,colon,semicolon,129.0,8.0,Compound,1
451,easier,easy,2012.0,13551.0,Standard,1
452,Geo,Geographical,9.0,31.0,Compound,1
453,Friendly,Label,1328.0,351.0,Standard,2
454,Org,Organizational,50.0,18.0,Compound,1
455,organisation,organizational,119.0,18.0,Standard,2
459,empty,auto,2409.0,391.0,Standard,1
460,give,given,59559.0,4851.0,Deletion,1
461,the,they,1501908.0,209250.0,Deletion,2
462,values,are,432.0,265672.0,Standard,1
463,know,whether,291780.0,3424.0,Standard,1
464,looks,look,15886.0,99311.0,Insertion,1
465,platform,emulate,313.0,28.0,Standard,1
466,ref,image,129.0,1154.0,Standard,1
467,het,net,17.0,793.0,Substitution,1
469,Either,Error,9308.0,473.0,Standard,1
470,about,of,185206.0,590439.0,Standard,1
471,out,our,197131.0,71425.0,Substitution,1
472,Please,Note,56149.0,2731.0,Standard,1
473,it,this,963712.0,406915.0,Standard,1
475,the,it,1501908.0,963712.0,Standard,1
476,support,supported,2587.0,186.0,Compound,1
477,type,size,3093.0,2353.0,Standard,1
478,at,for,164072.0,351650.0,Standard,1
479,these,those,46104.0,38404.0,Substitution,1
480,calls,will,4097.0,108306.0,Standard,1
481,appraise,appraisal,10.0,39.0,Standard,3
484,machine,machines,3583.0,707.0,Deletion,1
485,do,want,312915.0,140718.0,Standard,2
486,update,event,252.0,1345.0,Standard,1
487,regular,normal,1727.0,3589.0,Standard,1
488,used,to,17551.0,1156570.0,Standard,1
489,is,every,459663.0,28007.0,Standard,1
490,visible,invisible,253.0,630.0,Compound,1
491,is,for,459663.0,351650.0,Standard,1
492,add,remove,1686.0,1084.0,Standard,1
493,sever,server,80.0,200.0,Deletion,1
495,time,type,99890.0,3093.0,Standard,1
496,configured,protocol,9.0,382.0,Standard,1
497,it,they,963712.0,209250.0,Standard,1
498,kindle,Kindle,9.0,9.0,Caps Error,4
500,solutions,solution,76.0,807.0,Insertion,1
503,our,out,71425.0,197131.0,Substitution,3
504,Bull,Bulls,1403.0,264.0,Deletion,1
505,like,luck,203947.0,7840.0,Standard,7
512,ASH,ACH,469.0,38.0,Substitution,1
513,inside,insight,10775.0,143.0,Standard,1
514,you,there,2134713.0,221754.0,Standard,1
516,wich,which,9.0,24339.0,Deletion,1
517,if,of,180610.0,590439.0,Substitution,2
519,intelligent,intelligently,689.0,23.0,Compound,1
520,the,all,1501908.0,263255.0,Standard,1
521,while,if,17821.0,180610.0,Standard,1
522,close,closed,11191.0,2758.0,Deletion,1
523,all,compatible,263255.0,120.0,Standard,1
524,of,on,590439.0,354742.0,Substitution,1
525,the,them,1501908.0,90720.0,Deletion,2
526,left,right,24707.0,204428.0,Standard,1
527,M,N,343245.0,2810.0,Substitution,1
528,ever,every,36170.0,28007.0,Deletion,1
529,predominately,predominantly,9.0,19.0,Standard,1
530,no,on,304549.0,354742.0,Exchange,1
532,returns,return,447.0,4676.0,Insertion,1
533,chose,choose,952.0,2451.0,Deletion,3
534,cancelling,canceling,39.0,79.0,Insertion,1
535,some,the,88089.0,1501908.0,Standard,1
536,it,process,963712.0,1427.0,Standard,1
537,Cancelling,Canceling,39.0,79.0,Insertion,1
538,on,of,354742.0,590439.0,Substitution,2
540,HAndle,Handle,5529.0,5529.0,Caps Error,1
541,stop,pause,36071.0,275.0,Standard,1
542,position,rotation,3676.0,149.0,Standard,2
546,n,x,2810.0,1051.0,Substitution,1
547,n,m,2810.0,343245.0,Substitution,1
548,can,constructors,267620.0,2.0,Standard,1
549,typed,by,90.0,68364.0,Standard,1
550,an,as,95071.0,113068.0,Substitution,1
551,of,addition,590439.0,395.0,Standard,2
553,us,use,86478.0,17536.0,Deletion,4
554,Round,round,3393.0,3393.0,Caps Error,1
555,right,center,204428.0,2335.0,Standard,1
556,Butch,Batch,328.0,212.0,Substitution,1
557,Snapshot,Snapshots,53.0,47.0,Deletion,1
558,following,follows,2310.0,371.0,Standard,1
559,are,were,265672.0,84804.0,Standard,1
560,Width,width,35.0,35.0,Caps Error,1
561,or,and,86970.0,682780.0,Standard,1
562,know,grasp,291780.0,233.0,Standard,1
563,that,who,719677.0,113370.0,Standard,1
564,into,from,43074.0,103992.0,Standard,1
565,exiting,existing,48.0,98.0,Deletion,3
566,derives,derived,14.0,53.0,Substitution,1
567,this,needs,406915.0,8198.0,Standard,1
568,Server,Serve,200.0,1935.0,Insertion,1
569,gets,get,11364.0,233772.0,Insertion,2
570,organisation,organization,119.0,668.0,Substitution,1
571,Organisations,Organizations,11.0,71.0,Substitution,2
573,Arguments,Component,230.0,81.0,Standard,1
574,must,should,35661.0,54159.0,Standard,1
575,update,updated,252.0,67.0,Deletion,1
576,write,writes,6467.0,421.0,Deletion,1
577,Seed,Read,386.0,12302.0,Standard,1
578,a,having,1041179.0,14752.0,Standard,1
579,trough,through,72.0,28026.0,Deletion,2
580,m,zero,343245.0,1094.0,Standard,1
581,input,inputs,152.0,2.0,Deletion,1
582,it,if,963712.0,180610.0,Substitution,1
584,USA,US,203.0,86478.0,Insertion,1
585,and,fork,682780.0,450.0,Standard,1
586,all,the,263255.0,1501908.0,Standard,2
587,calls,The,4097.0,1501908.0,Standard,2
590,with,wish,257465.0,11991.0,Substitution,1
591,easily,easy,1151.0,13551.0,Standard,1
592,changes,change,1481.0,12258.0,Insertion,1
594,start,test,17345.0,4288.0,Standard,1
595,check,Check,14228.0,14228.0,Caps Error,1
596,clone,Clone,128.0,128.0,Caps Error,1
597,build,Build,2452.0,2452.0,Caps Error,1
598,simple,simply,4555.0,2362.0,Substitution,2
602,one,on,156684.0,354742.0,Insertion,3
605,array,Array,108.0,108.0,Caps Error,1
606,include,ignore,568.0,951.0,Standard,1
607,filters,filter,48.0,162.0,Insertion,1
608,breaks,break,960.0,11275.0,Insertion,1
609,starting,started,3558.0,9566.0,Standard,1
610,migrations,seeds,4.0,228.0,Standard,1
612,pictures,images,3477.0,401.0,Standard,1
613,proper,usable,1289.0,27.0,Standard,1
614,detailed,guide,200.0,910.0,Standard,1
615,an,explicit,95071.0,71.0,Standard,2
616,a,of,1041179.0,590439.0,Standard,2
618,lightening,lightning,26.0,721.0,Insertion,3
621,Lightening,Lightning,26.0,721.0,Insertion,2
623,editing,rendering,108.0,54.0,Standard,1
624,Getting,getting,24719.0,24719.0,Caps Error,1
625,Transactions,Methods,56.0,330.0,Standard,1
626,Command,command,2225.0,2225.0,Caps Error,1
627,determines,determine,46.0,428.0,Insertion,1
629,tou,you,18.0,2134713.0,Substitution,1
630,al,a,5306.0,1041179.0,Insertion,1
631,the,below,1501908.0,1430.0,Standard,1
632,request,requests,1304.0,273.0,Deletion,1
633,sections,section,127.0,1394.0,Insertion,1
634,a,code,1041179.0,2709.0,Standard,1
635,snipped,snippet,6.0,5.0,Substitution,1
637,behaviour,behavior,275.0,1142.0,Insertion,1
638,flavours,flavors,15.0,66.0,Insertion,1
639,steps,support,1259.0,2587.0,Standard,1
640,be,also,293085.0,10528.0,Standard,1
641,product,produce,752.0,564.0,Substitution,1
642,changed,changes,5148.0,1481.0,Substitution,1
643,in,id,498444.0,169.0,Substitution,1
644,visa,vice,216.0,950.0,Standard,1
645,shown,listed,723.0,284.0,Standard,1
646,into,in,43074.0,498444.0,Compound,1
647,As,Below,113068.0,1430.0,Standard,1
648,up,be,187170.0,293085.0,Standard,1
649,fix,fit,4426.0,2937.0,Substitution,1
651,uses,users,778.0,63.0,Deletion,1
652,as,the,113068.0,1501908.0,Standard,1
653,side,size,10247.0,2353.0,Substitution,1
654,grow,growing,3034.0,1527.0,Compound,1
655,Mobile,Push,381.0,3598.0,Standard,1
656,than,then,37679.0,75966.0,Substitution,3
657,String,boolean,646.0,4.0,Standard,1
658,one,single,156684.0,3676.0,Standard,1
659,the,most,1501908.0,17889.0,Standard,1
660,Provides,provides,137.0,137.0,Caps Error,1
662,is,must,459663.0,35661.0,Standard,1
663,sorting,Sorting,74.0,74.0,Caps Error,1
665,off,of,60155.0,590439.0,Insertion,1
669,as,follows,113068.0,371.0,Standard,1
672,market,marked,1848.0,547.0,Substitution,1
674,Queries,Mutations,8.0,44.0,Standard,1
675,queries,mutations,8.0,44.0,Standard,1
676,query,mutation,29.0,88.0,Standard,1
677,examples,example,97.0,1527.0,Insertion,3
678,restart,stop,30.0,36071.0,Standard,1
679,Runs,Upgrade,1637.0,110.0,Standard,1
680,Future,Function,5278.0,565.0,Standard,1
681,stride,s,107.0,1057301.0,Compound,1
682,Steps,Statements,1259.0,279.0,Standard,1
683,prefix,prefixes,21.0,2.0,Compound,1
684,up,test,187170.0,4288.0,Standard,1
685,Not,Now,276673.0,163333.0,Substitution,1
686,form,from,2180.0,103992.0,Exchange,4
687,houses,greenhouses,975.0,4.0,Compound,1
688,Set,The,11805.0,1501908.0,Standard,1
689,dat,data,61.0,1306.0,Deletion,1
690,user,sure,79.0,56091.0,Exchange,1
693,user,use,79.0,17536.0,Insertion,2
694,with,width,257465.0,35.0,Deletion,1
695,columns,column,141.0,559.0,Insertion,1
696,has,as,57830.0,113068.0,Insertion,2
697,to,switch,1156570.0,1434.0,Standard,1
698,then,than,75966.0,37679.0,Substitution,7
699,in,it,498444.0,963712.0,Substitution,1
701,not,no,276673.0,304549.0,Insertion,2
702,setup,source,440.0,1437.0,Standard,1
703,copy,Copy,2666.0,2666.0,Caps Error,1
704,width,flex,35.0,50.0,Standard,1
705,second,first,14513.0,42869.0,Standard,1
706,tu,to,163.0,1156570.0,Substitution,1
707,medium,dark,362.0,4519.0,Standard,1
708,dark,medium,4519.0,362.0,Standard,1
709,components,component,84.0,81.0,Insertion,1
710,feedback,Feedback,140.0,140.0,Caps Error,1
711,Lean,Learn,529.0,6047.0,Deletion,1
712,that,the,719677.0,1501908.0,Standard,1
713,all,be,263255.0,293085.0,Standard,1
714,can,the,267620.0,1501908.0,Standard,1
716,them,then,90720.0,75966.0,Substitution,1
717,it,a,963712.0,1041179.0,Standard,1
718,is,that,459663.0,719677.0,Standard,1
719,with,within,257465.0,3017.0,Compound,1
720,go,to,193445.0,1156570.0,Substitution,1
721,before,Before,40501.0,40501.0,Caps Error,1
722,Clone,clone,128.0,128.0,Caps Error,1
723,Download,download,168.0,168.0,Caps Error,1
724,Train,train,4848.0,4848.0,Caps Error,1
725,Test,test,4288.0,4288.0,Caps Error,1
728,arguments,argument,230.0,867.0,Insertion,1
729,uploaded,downloaded,21.0,77.0,Standard,1
731,selected,profiles,249.0,50.0,Standard,1
732,classes,class,812.0,5985.0,Compound,1
733,orientated,oriented,5.0,27.0,Standard,1
734,positive,neutral,1613.0,215.0,Standard,1
735,positive,negative,1613.0,1308.0,Standard,1
736,immediate,immediately,571.0,2446.0,Compound,1
