
mistake,fix,mistake freq,fix freq,type,Efreq
to,of,1156570.0,590439.0,Standard,0
boolean,function,4.0,565.0,Standard,0
promise,promisified,7809.0,0,Standard,0
promise,promisified,7809.0,0,Standard,0
GtiHub,GitHub,0,0,Exchange,0
GtiHub,GitHub,0,0,Exchange,0
Activing,Activating,0,44.0,Standard,0
Chaning,Changing,0,1339.0,Deletion,0
push,pop,3598.0,3441.0,Standard,0
video,videos,2105.0,220.0,Deletion,0
orderr,orders,0,3130.0,Substitution,0
pubished,published,0,367.0,Deletion,0
pubisher,publisher,0,230.0,Deletion,0
represention,representing,0,233.0,Standard,0
Frameworkare,are,0,265672.0,MORPH,0
Supporterd,Supported,0,186.0,Insertion,0
ponit,points,0,1642.0,Standard,0
ponit,points,0,1642.0,Standard,0
Bulid,Build,0,2452.0,Exchange,0
squre,square,0,1620.0,Deletion,0
acccess,access,0,1615.0,Insertion,0
obect,object,0,1314.0,Deletion,0
possibillity,possibility,0,1035.0,Insertion,0
squre,square,0,1620.0,Deletion,0
squre,square,0,1620.0,Deletion,0
text,test,267.0,4288.0,Substitution,0
XCode,Xcode,0,0,Caps Error,0
butj,but,0,225291.0,Insertion,0
cross-platofrm,cross-platform,0,0,Exchange,0
Vistual,Visual,0,586.0,Insertion,0
-Dbuild_gtest_samples=ON,-Dgtest_build_samples=ON,0,0,Exchange,0
guards,protecting,1237.0,817.0,Standard,0
If,value-parameterized,180610.0,0,Standard,0
is,present,459663.0,4562.0,Standard,0
losev.com,google.com,0,0,Standard,0
requeueing,requeuing,0,0,Insertion,0
disovered,discovered,0,1467.0,Deletion,0
contribtion,contribution,0,223.0,Deletion,0
Simple,Simply,4555.0,2362.0,Substitution,0
You,-,2134713.0,0,Standard,0
[omission],and,0,682780.0,Omission,0
willing,willingness,2512.0,68.0,Compound,0
[omission],`,0,0,Omission,0
a,your,1041179.0,328715.0,Standard,0
self.path,other.path,0,0,Standard,0
redfinition,redefinition,0,2.0,Deletion,0
this.redfinition,this.redefinition,0,0,Deletion,0
this.redfinition,this.redefinition,0,0,Deletion,0
this.redfinition,this.redefinition,0,0,Deletion,0
chaning,chaining,0,5.0,Deletion,0
iwithn,within,0,3017.0,Exchange,0
an,English,95071.0,3777.0,Standard,0
produces,produced,134.0,268.0,Substitution,0
mgs/s,msg/s,0,0,Exchange,0
mashalled,marshalled,0,0,Deletion,0
I,It,2038529.0,963712.0,Deletion,0
mosaidVideoPlayerEls,mosaicVideoPlayerEls,0,0,Substitution,0
mosaidVideoPlayerEls,mosaicVideoPlayerEls,0,0,Substitution,0
;,#,0,0,Substitution,0
can,will,267620.0,108306.0,Standard,0
ambien,ambient,0,26.0,Deletion,0
ambien,ambient,0,26.0,Deletion,0
Cats,Fetch,1006.0,559.0,Standard,0
interesing,interesting,0,4421.0,Deletion,0
Baching,Batching,0,3.0,Deletion,0
minimum,maximum,415.0,396.0,Standard,0
minimum,maximum,415.0,396.0,Standard,0
sice,slice,0,435.0,Deletion,0
cntribute,contribute,0,194.0,Deletion,0
explain,explained,5670.0,598.0,Compound,0
occurences,occurrences,0,14.0,Deletion,0
occurences,occurrences,0,14.0,Deletion,0
begginer,beginner,0,99.0,Standard,0
recieve,receive,0,992.0,Exchange,0
recieve,receive,0,992.0,Exchange,0
flex,flex-grow,50.0,0,MORPH,0
[omission],it,0,963712.0,Omission,0
[omission],<,0,0,Omission,0
/kdb,/kbd,0,0,Exchange,0
syntaxt,syntax,0,18.0,Insertion,0
udpateMessage,updateMessage,0,0,Exchange,0
gorupPaletteColors,groupPaletteColors,0,0,Exchange,0
Espace,Escape,7.0,2258.0,Exchange,0
[omission],``,0,0,Omission,0
CSVEditor,CSVConfig,0,0,Standard,0
[omission],.csv,0,0,Omission,0
save,saved,8278.0,3558.0,Deletion,0
[omission],@,0,0,Omission,0
gets,posts,11364.0,141.0,Standard,0
compromized,compromised,0,251.0,Substitution,0
asn,asn.|,0,0,MORPH,0
codeof,code,0,2709.0,MORPH,0
byt,by,0,68364.0,Insertion,0
compromized,compromised,0,251.0,Substitution,0
compromized,compromised,0,251.0,Substitution,0
algorihm,algorithm,0,27.0,Deletion,0
projechoneypot,projecthoneypot,0,0,Deletion,0
collectors,collector,75.0,220.0,Insertion,0
collectors.send,collector.send,0,0,Insertion,0
exc,fuf,0,0,Standard,0
wixard,wizard,0,542.0,Substitution,0
Github,GitHub,0,0,Caps Error,0
Github,GitHub,0,0,Caps Error,0
Github,GitHub,0,0,Caps Error,0
test,sandbox,4288.0,54.0,Standard,0
infromation,information,0,4557.0,Exchange,0
awkard,awkward,0,730.0,Deletion,0
*,-,0,0,Substitution,0
new,CommentConnection,36913.0,0,Standard,0
to,two,1156570.0,54384.0,Deletion,0
Accelarete,Accelerate,0,65.0,Exchange,0
[,a,0,1041179.0,Substitution,0
so,but,216452.0,225291.0,Standard,0
[omission],deleted,0,74.0,Omission,0
Accelerte,Accelerate,0,65.0,Deletion,0
corcetly,correctly,0,309.0,Standard,0
is,it,459663.0,963712.0,Substitution,0
backned,backend,0,0,Exchange,0
share,shared,3545.0,534.0,Deletion,0
evidence.values,recipes.values,0,0,Standard,0
evidence.nodes,recipes.nodes,0,0,Standard,0
`,OrderGateway,0,0,Standard,0
[omission],",",0,0,Omission,0
we,first,459607.0,42869.0,Standard,0
[omission],*,0,0,Omission,0
[omission],*,0,0,Omission,0
[omission],*,0,0,Omission,0
taska,task,0,649.0,Insertion,0
BreakpointInstruction,BreakpointMethod,0,0,Standard,0
number_glyph_scale,number_glyph_point,0,0,Standard,0
calss,class,0,5985.0,Exchange,0
deviders,dividers,0,2.0,Substitution,0
f,if,2579.0,180610.0,Deletion,0
A,An,1041179.0,95071.0,Deletion,0
able,available,8155.0,1323.0,Compound,0
vendro,vendor,0,65.0,Exchange,0
micrositeExtratMdFiles,micrositeExtraMdFiles,0,0,Insertion,0
micrositeExtratMdFiles,micrositeExtraMdFiles,0,0,Insertion,0
micrositeExtratMdFiles,micrositeExtraMdFiles,0,0,Insertion,0
config.micrositeExtratMdFiles,config.micrositeExtraMdFiles,0,0,Insertion,0
[omission],=,0,0,Omission,0
'unambigious,'unambiguous,0,0,Substitution,0
",",and,0,682780.0,Standard,0
in,center,498444.0,2335.0,Standard,0
Using,`,3520.0,0,Standard,0
psuedo-border,pseudo-border,0,0,Exchange,0
psuedo-elements,pseudo-elements,0,0,Exchange,0
psuedo-elements,pseudo-elements,0,0,Exchange,0
psuedo-element,pseudo-element,0,0,Exchange,0
psuedo-element,pseudo-element,0,0,Exchange,0
psuedo,pseudo,0,15.0,Exchange,0
psuedo,pseudo,0,15.0,Exchange,0
[omission],`,0,0,Omission,0
of,if,590439.0,180610.0,Substitution,0
of,if,590439.0,180610.0,Substitution,0
indentity,identity,0,662.0,Insertion,0
#,Component,0,81.0,Standard,0
#,Composition,0,124.0,Standard,0
#,Sharing,0,623.0,Standard,0
#,Keyframes,0,0,Standard,0
minimun,minimum,0,415.0,Substitution,0
[omission],#,0,0,Omission,0
component=,Component=,0,0,Caps Error,0
[omission],is,0,459663.0,Omission,0
global.default.key=overriden,global.default.key=overridden,0,0,Deletion,0
overriden,overridden,0,13.0,Deletion,0
thr,the,0,1501908.0,Substitution,0
configuraiton,configuration,0,48.0,Exchange,0
manualy,manually,0,83.0,Deletion,0
modul,module,0,136.0,Deletion,0
avaliable,available,0,1323.0,Exchange,0
conferting,converting,0,41.0,Substitution,0
lightnind,lightningd,0,0,Deletion,0
lighnind,lightningd,0,0,Standard,0
lightnind,lightningd,0,0,Deletion,0
lightnind,lightningd,0,0,Deletion,0
sur,sure,30.0,56091.0,Deletion,0
sur,sure,30.0,56091.0,Deletion,0
'base_directory,'base-directory,0,0,Substitution,0
offical,official,0,1224.0,Deletion,0
not,now,276673.0,163333.0,Substitution,0
Research,Investigate,1688.0,483.0,Standard,0
[omission],the,0,1501908.0,Omission,0
adapter,Adapter,11.0,11.0,Caps Error,0
[omission],#,0,0,Omission,0
[omission],#,0,0,Omission,0
[omission],#,0,0,Omission,0
export_volume,export_volume_mods,0,0,MORPH,0
export_paper,export_paper_mods,0,0,MORPH,0
paper.attachments,paper.attachment,0,0,Insertion,0
from,form,103992.0,2180.0,Exchange,0
RichTexarea,RichTextarea,0,0,Deletion,0
atrtibuts,attribute,0,45.0,Standard,0
stripTags,striptags,0,0,Caps Error,0
stripTags,striptags,0,0,Caps Error,0
'erroreu,'error,0,0,MORPH,0
matche,match,0,2521.0,Insertion,0
getDataRequest,executeQuery,0,0,Standard,0
getProjetFiles,getProjectFiles,0,0,Deletion,0
FileParser.getProjetFiles,FileParser.getProjectFiles,0,0,Deletion,0
bin/spittle,bin/sprite,0,0,Standard,0
spittle,sprite,12.0,33.0,Standard,0
contian,contain,0,310.0,Exchange,0
customizeble,customizable,0,0,Substitution,0
[,a,0,1041179.0,Substitution,0
laneId,threadId,0,0,Standard,0
field,class,3580.0,5985.0,Standard,0
a,an,1041179.0,95071.0,Deletion,0
models,model,451.0,1635.0,Insertion,0
wagtailstreanforms,wagtailstreamforms,0,0,Substitution,0
wagtailstreanforms,wagtailstreamforms,0,0,Substitution,0
wagtailstreanforms,wagtailstreamforms,0,0,Substitution,0
wagtailstreanforms,wagtailstreamforms,0,0,Substitution,0
built,build,2099.0,2452.0,Substitution,0
.,",",0,0,Substitution,0
catagorised,categorised,0,2.0,Substitution,0
it,its,963712.0,8757.0,Deletion,0
[omission],case,0,14403.0,Omission,0
then,when,75966.0,103739.0,Substitution,0
templace,template,0,21.0,Substitution,0
fo,for,95.0,351650.0,Deletion,0
meant,means,5316.0,11136.0,Substitution,0
groupping,grouping,0,20.0,Insertion,0
functio,function,0,565.0,Deletion,0
exmaple,example,0,1527.0,Exchange,0
enfores,enforces,0,3.0,Deletion,0
meaining,meaning,0,1904.0,Insertion,0
ands,and,21.0,682780.0,Insertion,0
exmaple,example,0,1527.0,Exchange,0
are,considered,265672.0,1182.0,Standard,0
given,listening,4851.0,3205.0,Standard,0
#,Additional,0,300.0,Standard,0
#,Additional,0,300.0,Standard,0
#,Additional,0,300.0,Standard,0
build,push,2452.0,3598.0,Standard,0
true,false,12921.0,0,Standard,0
src,url,0,0,Standard,0
MInute,Minute,19252.0,19252.0,Caps Error,0
flycheck-ycmd-set,flycheck-ycmd-setup,0,0,MORPH,0
you,pyflakes,2134713.0,0,Standard,0
[omission],run,0,17878.0,Omission,0
using,technique,3520.0,456.0,Standard,0
Contruct,Construct,0,74.0,Deletion,0
is,it,459663.0,963712.0,Substitution,0
structurs,structures,0,58.0,Deletion,0
[omission],user,0,79.0,Omission,0
owm,own,0,23419.0,Substitution,0
To,We,1156570.0,459607.0,Standard,0
[omission],Events,0,860.0,Omission,0
#,Available,0,1323.0,Standard,0
#,.,0,0,Substitution,0
progx,proxy,0,46.0,Standard,0
Deletes/Deactivatesn,Deletes/Deactivates,0,0,Insertion,0
progx,proxy,0,46.0,Standard,0
set,sets,11805.0,761.0,Deletion,0
build,test,2452.0,4288.0,Standard,0
[omission],unit,0,1845.0,Omission,0
@,',0,0,Substitution,0
sndMinutes,secondMinutes,0,0,Standard,0
trdMinutes,thirdMinutes,0,0,Standard,0
dependecies,dependencies,0,0,Deletion,0
this._getNeighborMintues,this._getNeighborMinutes,0,0,Exchange,0
_getNeighborMintues,_getNeighborMinutes,0,0,Exchange,0
false,true,0,12921.0,Standard,0
true,false,12921.0,0,Standard,0
you,your,2134713.0,328715.0,Deletion,0
isTruestedIntranetInstallation,isTrustedIntranetInstallation,0,0,Insertion,0
MettingSeries,MeetingSeries,0,0,Substitution,0
MettingSeries,MeetingSeries,0,0,Substitution,0
MettingSeries,MeetingSeries,0,0,Substitution,0
MettingSeries,MeetingSeries,0,0,Substitution,0
MettingSeries,MeetingSeries,0,0,Substitution,0
[omission],featured,0,63.0,Omission,0
expandedField,isExpandedField,0,0,Standard,0
requestActove,requestActive,0,0,Substitution,0
fileds,fields,0,609.0,Exchange,0
fileds.forEach,fields.forEach,0,0,Exchange,0
//,const,0,0,Standard,0
problem.tages.push,problem.tags.push,0,0,Insertion,0
tages,tags,0,181.0,Insertion,0
name,next,32735.0,23090.0,Standard,0
[omission],",",0,0,Omission,0
landcape,landscape,0,127.0,Deletion,0
[omission],are,0,265672.0,Omission,0
Repository,This,13.0,406915.0,Standard,0
souce,source,0,1437.0,Deletion,0
other,_,37505.0,0,Standard,0
(,[,0,0,Substitution,0
An,Object,95071.0,1314.0,Standard,0
//ampltiudejs.com,//amplitudejs.com,0,0,Exchange,0
numberzzz,numbers,0,2020.0,Standard,0
your,you,328715.0,2134713.0,Insertion,0
djedi.options.set,djedi.options.fetch,0,0,Standard,0
Home,About,39491.0,185206.0,Standard,0
tre,three,0,27654.0,Standard,0
Djano,Django,0,0,Deletion,0
disabilites,disabilities,0,15.0,Deletion,0
Accessibilitiy,Accessibility,0,2.0,Insertion,0
digestable,digestible,0,4.0,Substitution,0
https,http,0,0,Insertion,0
Twitter,Bootstrap,8.0,3.0,Standard,0
accessiblity,accessibility,0,2.0,Deletion,0
//twitter.github.com/bootstrap/,//getbootstrap.com,0,0,Standard,0
[omission],),0,0,Omission,0
images,Images,401.0,401.0,Caps Error,0
techonology,technology,0,762.0,Insertion,0
Strep,Streep,35.0,45.0,Deletion,0
accemic,literature,0,326.0,Standard,0
tradeoffs,offs,0,9.0,MORPH,0
easy,simple,13551.0,4555.0,Standard,0
point,place,12063.0,30736.0,Standard,0
in,are,498444.0,265672.0,Standard,0
[omission],[,0,0,Omission,0
prder,order,0,7985.0,Substitution,0
PokItDok,PokitDok,0,0,Caps Error,0
th,the,4989.0,1501908.0,Deletion,0
[omission],to,0,1156570.0,Omission,0
coul,",",3.0,0,Standard,0
not,now,276673.0,163333.0,Substitution,0
ecmaScript,ecmaVersion,0,0,Standard,0
it,is,963712.0,459663.0,Substitution,0
end,and,13559.0,682780.0,Substitution,0
plugin,plugins,0,0,Deletion,0
A,[,1041179.0,0,Substitution,0
ident,indent,15.0,6.0,Deletion,0
A,[,1041179.0,0,Substitution,0
ident,indent,15.0,6.0,Deletion,0
RpoertDialog,ReportDialog,0,0,Exchange,0
list_api,list_apis,0,0,Deletion,0
Proxie,Proxy,0,46.0,Standard,0
trafix,trafic,0,0,Substitution,0
workaound,workaround,0,0,Deletion,0
[omission],hashes,0,0,Omission,0
[omission],hashes,0,0,Omission,0
email_adress,email_address,0,0,Deletion,0
http,https,0,0,Deletion,0
http,https,0,0,Deletion,0
//online.citibank.com/US/Welcome.c,//online.citi.com/,0,0,Standard,0
http,https,0,0,Deletion,0
http,https,0,0,Deletion,0
http,https,0,0,Deletion,0
//www.postbank.com/,//www.postbank.de/,0,0,Standard,0
http,https,0,0,Deletion,0
http,https,0,0,Deletion,0
0,false,0,0,Standard,0
Notu,No,0,304549.0,MORPH,0
TraitChekMf,TraitCheckMf,0,0,Deletion,0
migth,might,0,26334.0,Exchange,0
provide,provides,888.0,137.0,Deletion,0
you,to,2134713.0,1156570.0,Standard,0
compile,compiles,27.0,0,Deletion,0
it,its,963712.0,8757.0,Deletion,0
wellcome,welcome,0,9140.0,Insertion,0
implementatios,implementations,0,0,Deletion,0
submodules,submodule,0,0,Insertion,0
Protocol.UDP,Protocol.TCP,0,0,Standard,0
Scret,Secret,0,5585.0,Deletion,0
[omission],of,0,590439.0,Omission,0
what,As,501965.0,113068.0,Standard,0
Brouter-web,Setting,0,1099.0,Standard,0
An,A,95071.0,1041179.0,Insertion,0
noticable,noticeable,0,45.0,Deletion,0
provile,profile,0,657.0,Substitution,0
inofficial,unofficial,0,50.0,Substitution,0
[omission],an,0,95071.0,Omission,0
Sumarize,Summarize,0,20.0,Deletion,0
[omission],the,0,1501908.0,Omission,0
[omission],an,0,95071.0,Omission,0
[omission],'s,0,0,Omission,0
[omission],",",0,0,Omission,0
[omission],",",0,0,Omission,0
Aditional,Additional,0,300.0,Deletion,0
Aditional,Additional,0,300.0,Deletion,0
Aditional,Additional,0,300.0,Deletion,0
Aditional,Additional,0,300.0,Deletion,0
Aditional,Additional,0,300.0,Deletion,0
Javascript,JavaScript,0,0,Caps Error,0
Javascript,JavaScript,0,0,Caps Error,0
Aditional,Additional,0,300.0,Deletion,0
Aditional,Additional,0,300.0,Deletion,0
Aditional,Additional,0,300.0,Deletion,0
Aditional,Additional,0,300.0,Deletion,0
Aditional,Additional,0,300.0,Deletion,0
Aditional,Additional,0,300.0,Deletion,0
Aditional,Additional,0,300.0,Deletion,0
Aditional,Additional,0,300.0,Deletion,0
Aditional,Additional,0,300.0,Deletion,0
sring,string,0,646.0,Deletion,0
maxN,minN,0,0,Standard,0
maxN,minN,0,0,Standard,0
[omission],!,0,0,Omission,0
grou,group,0,3762.0,Deletion,0
must,one,35661.0,156684.0,Standard,0
setGrouping,grouping,0,20.0,Standard,0
must,one,35661.0,156684.0,Standard,0
setGrouping,grouping,0,20.0,Standard,0
idPropery,idProperty,0,0,Deletion,0
idPropery,idProperty,0,0,Deletion,0
idPropery,idProperty,0,0,Deletion,0
asyncPostProcess,asyncPostRender,0,0,Standard,0
[omission],``,0,0,Omission,0
Synopis,Synopsis,0,14.0,Deletion,0
logging,named,46.0,3564.0,Standard,0
with,methods,257465.0,330.0,Standard,0
flood,flooding,291.0,86.0,Compound,0
logger,Default,6.0,51.0,Standard,0
PROPERTY-TYPES,PROPERTY-ALIST,0,0,Standard,0
funtions,functions,0,201.0,Deletion,0
dowload,download,0,168.0,Deletion,0
whether,weather,3424.0,1746.0,Standard,0
wayoints,waypoints,0,0,Deletion,0
Wayoints,Waypoints,0,0,Deletion,0
accespt,accept,0,2692.0,Insertion,0
Javascript,JavaScript,0,0,Caps Error,0
Javascript,JavaScript,0,0,Caps Error,0
exist,existing,1477.0,98.0,Compound,0
Installaltion,Installation,0,72.0,Insertion,0
enviroments,environments,0,32.0,Deletion,0
unminfied,unminified,0,0,Deletion,0
insersion,insertion,0,32.0,Substitution,0
Non-minfied,Non-minified,0,0,Deletion,0
a,debug,1041179.0,10.0,Standard,0
content,context,389.0,163.0,Substitution,0
CatsBoundedSemilatice,CatsBoundedSemilattice,0,0,Deletion,0
CatsBoundedSemilatice,CatsBoundedSemilattice,0,0,Deletion,0
an,a,95071.0,1041179.0,Insertion,0
to,use,1156570.0,17536.0,Standard,0
your,multiple,328715.0,540.0,Standard,0
It,`,963712.0,0,Standard,0
Also,`,10528.0,0,Standard,0
[omission],a,0,1041179.0,Omission,0
commanline,commandline,0,0,Deletion,0
idltest.xxx,idltest.upcasts,0,0,Standard,0
[omission],the,0,1501908.0,Omission,0
an,a,95071.0,1041179.0,Insertion,0
up,down,187170.0,76004.0,Standard,0
nguage,language,0,1790.0,MORPH,0
Lisence,License,0,1635.0,Exchange,0
cb,callback,27.0,44.0,Standard,0
[omission],trailing,0,80.0,Omission,0
assitive,assistive,0,0,Deletion,0
Wordpress,WordPress,0,0,Caps Error,0
disasterous,disastrous,0,85.0,Insertion,0
movile-first,mobile-first,0,0,Substitution,0
[omission],chance,0,12303.0,Omission,0
org.acra.util,org.acra.collector,0,0,Standard,0
intersting,interesting,0,4421.0,Deletion,0
use,used,17536.0,17551.0,Deletion,0
wether,whether,7.0,3424.0,Deletion,0
Unitl,Until,0,15426.0,Exchange,0
[omission],of,0,590439.0,Omission,0
kind,kinds,30125.0,1121.0,Deletion,0
work,worked,40699.0,5877.0,Compound,0
[omission],the,0,1501908.0,Omission,0
consultunt,consultant,0,187.0,Substitution,0
Presidenet,President,0,7174.0,Insertion,0
independen,independent,0,477.0,Deletion,0
deal,dealing,13330.0,1440.0,Compound,0
[omission],the,0,1501908.0,Omission,0
[omission],department,0,3256.0,Omission,0
[omission],",",0,0,Omission,0
[omission],the,0,1501908.0,Omission,0
's,',0,0,Insertion,0
[omission],',0,0,Omission,0
points,point,1642.0,12063.0,Insertion,0
to,we,1156570.0,459607.0,Standard,0
of,",",590439.0,0,Standard,0
to,if,1156570.0,180610.0,Standard,0
getting,slowing,24719.0,156.0,Standard,0
sound,sounds,7313.0,7970.0,Deletion,0
[omission],do,0,312915.0,Omission,0
unreal_engine.FMFrameNumber,unreal_engine.FFrameNumber,0,0,Insertion,0
UePyFRandomStream.h,UEPyFRandomStream.h,0,0,Caps Error,0
normal,standard,3589.0,940.0,Standard,0
[omission],:testing,0,0,Omission,0
Example,Examples,1527.0,97.0,Deletion,0
alpahabetical,alphabetical,0,44.0,Insertion,0
default,compiler,51.0,7.0,Standard,0
past,path,6312.0,1252.0,Standard,0
[omission],*,0,0,Omission,0
asbl,absl,0,0,Exchange,0
asbl,absl,0,0,Exchange,0
asbl,absl,0,0,Exchange,0
asbl,absl,0,0,Exchange,0
heterogenous,heterogeneous,0,2.0,Deletion,0
implement,implements,63.0,15.0,Deletion,0
a,any,1041179.0,56068.0,Standard,0
[omission],long,0,34433.0,Omission,0
[omission],.,0,0,Omission,0
upto,to,0,1156570.0,MORPH,0
programme,programmer,235.0,56.0,Deletion,0
!,==,0,0,Standard,0
devision,division,0,946.0,Substitution,0
GUARDED_BY,mutex,0,0,Standard,0
`,``,0,0,Deletion,0
implict_cast,implicit_cast,0,0,Deletion,0
[omission],:,0,0,Omission,0
[omission],:,0,0,Omission,0
tempate,template,0,21.0,Deletion,0
pulls,also,404.0,10528.0,Standard,0
coresponding,corresponding,0,29.0,Deletion,0
preffered,preferred,0,210.0,Standard,0
it,is,963712.0,459663.0,Substitution,0
GoCardlesss,GoCardless,0,0,Insertion,0
coresponding,corresponding,0,29.0,Deletion,0
Wuaal,Wuala,0,0,Exchange,0
removed,remove,737.0,1084.0,Insertion,0
functionailty,functionality,0,4.0,Exchange,0
delimter,delimiter,0,0,Deletion,0
bu,but,82.0,225291.0,Deletion,0
to,use,1156570.0,17536.0,Standard,0
your,multiple,328715.0,540.0,Standard,0
It,`,963712.0,0,Standard,0
Also,`,10528.0,0,Standard,0
[omission],a,0,1041179.0,Omission,0
idltest.xxx,idltest.upcasts,0,0,Standard,0
[omission],the,0,1501908.0,Omission,0
need,need't,66040.0,0,MORPH,0
Bucket,bucket,511.0,511.0,Caps Error,0
rST,RST,0,0,Caps Error,0
[omission],\,0,0,Omission,0
wieh,with,0,257465.0,Substitution,0
RESTFul,RESTful,38.0,38.0,Caps Error,0
files,files/,1358.0,0,Deletion,0
fileTypem,fileType,0,0,Insertion,0
res.response,req.response,0,0,Substitution,0
Retuns,Returns,0,447.0,Deletion,0
rotate,reverse,98.0,560.0,Standard,0
True,False,12921.0,0,Standard,0
fist,first,375.0,42869.0,Deletion,0
evry,every,0,28007.0,Deletion,0
fist,first,375.0,42869.0,Deletion,0
laste,last,0,36878.0,Insertion,0
secind,second,0,14513.0,Substitution,0
rotate,reverse,98.0,560.0,Standard,0
Resource,REsource,83.0,83.0,Caps Error,0
//github.com/acccordproject/cicero.git,//github.com/accordproject/cicero.git,0,0,Insertion,0
[omission],migrate,0,21.0,Omission,0
two,two-factor,54384.0,0,MORPH,0
[omission],",",0,0,Omission,0
database,driver,290.0,2416.0,Standard,0
[omission],",",0,0,Omission,0
setup,up,440.0,187170.0,Compound,0
[omission],",",0,0,Omission,0
